country_id,Area (kmÂ²),start,end,current
2050,652230,01.01.1900,31.12.9999,1
5181,28748,01.01.1900,31.12.9999,1
4586,2381741,01.01.1900,31.12.9999,1
9350,199,01.01.1900,31.12.9999,1
9230,468,01.01.1900,31.12.9999,1
9448,1246700,01.01.1900,31.12.9999,1
5604,91,01.01.1900,31.12.9999,1
8745,442,01.01.1900,31.12.9999,1
5231,2780400,01.01.1900,31.12.9999,1
1972,29743,01.01.1900,31.12.9999,1
8217,180,01.01.1900,31.12.9999,1
7859,7692024,01.01.1900,31.12.9999,1
5484,83871,01.01.1900,31.12.9999,1
2557,86600,01.01.1900,31.12.9999,1
3976,13943,01.01.1900,31.12.9999,1
5160,765,01.01.1900,31.12.9999,1
3421,147570,01.01.1900,31.12.9999,1
8963,430,01.01.1900,31.12.9999,1
4288,207600,01.01.1900,31.12.9999,1
2934,30528,01.01.1900,31.12.9999,1
1945,22966,01.01.1900,31.12.9999,1
5854,112622,01.01.1900,31.12.9999,1
5017,54,01.01.1900,31.12.9999,1
5833,38394,01.01.1900,31.12.9999,1
8863,1098581,01.01.1900,31.12.9999,1
2086,51209,01.01.1900,31.12.9999,1
6025,582000,01.01.1900,31.12.9999,1
5643,8515767,01.01.1900,31.12.9999,1
8750,151,01.01.1900,31.12.9999,1
1038,5765,01.01.1900,31.12.9999,1
4114,110879,01.01.1900,31.12.9999,1
3270,272967,01.01.1900,31.12.9999,1
5785,27834,01.01.1900,31.12.9999,1
1475,181035,01.01.1900,31.12.9999,1
2910,475442,01.01.1900,31.12.9999,1
4227,9984670,01.01.1900,31.12.9999,1
5564,4033,01.01.1900,31.12.9999,1
1710,264,01.01.1900,31.12.9999,1
1420,622984,01.01.1900,31.12.9999,1
9053,1284000,01.01.1900,31.12.9999,1
8151,756102,01.01.1900,31.12.9999,1
4783,9706961,01.01.1900,31.12.9999,1
8433,1141748,01.01.1900,31.12.9999,1
2225,1862,01.01.1900,31.12.9999,1
1998,236,01.01.1900,31.12.9999,1
5481,51100,01.01.1900,31.12.9999,1
9225,56594,01.01.1900,31.12.9999,1
5830,109884,01.01.1900,31.12.9999,1
5520,9251,01.01.1900,31.12.9999,1
9936,43094,01.01.1900,31.12.9999,1
8382,23200,01.01.1900,31.12.9999,1
1484,751,01.01.1900,31.12.9999,1
4632,48671,01.01.1900,31.12.9999,1
8990,276841,01.01.1900,31.12.9999,1
5730,1002450,01.01.1900,31.12.9999,1
8331,21041,01.01.1900,31.12.9999,1
5493,28051,01.01.1900,31.12.9999,1
1933,117600,01.01.1900,31.12.9999,1
4556,45227,01.01.1900,31.12.9999,1
2855,17364,01.01.1900,31.12.9999,1
1077,1104300,01.01.1900,31.12.9999,1
1812,12173,01.01.1900,31.12.9999,1
8902,1393,01.01.1900,31.12.9999,1
2666,18272,01.01.1900,31.12.9999,1
8325,338424,01.01.1900,31.12.9999,1
2491,551695,01.01.1900,31.12.9999,1
6137,83534,01.01.1900,31.12.9999,1
1540,4167,01.01.1900,31.12.9999,1
9323,267668,01.01.1900,31.12.9999,1
1968,10689,01.01.1900,31.12.9999,1
6192,69700,01.01.1900,31.12.9999,1
2447,357114,01.01.1900,31.12.9999,1
1680,238533,01.01.1900,31.12.9999,1
5059,6,01.01.1900,31.12.9999,1
7791,131990,01.01.1900,31.12.9999,1
9550,2166086,01.01.1900,31.12.9999,1
1866,344,01.01.1900,31.12.9999,1
1376,1628,01.01.1900,31.12.9999,1
8106,549,01.01.1900,31.12.9999,1
8657,108889,01.01.1900,31.12.9999,1
9599,245857,01.01.1900,31.12.9999,1
5294,36125,01.01.1900,31.12.9999,1
2843,214969,01.01.1900,31.12.9999,1
6415,27750,01.01.1900,31.12.9999,1
1086,112492,01.01.1900,31.12.9999,1
7703,1104,01.01.1900,31.12.9999,1
9064,93028,01.01.1900,31.12.9999,1
7843,103000,01.01.1900,31.12.9999,1
7159,3287590,01.01.1900,31.12.9999,1
3993,1904569,01.01.1900,31.12.9999,1
7987,1648195,01.01.1900,31.12.9999,1
3959,438317,01.01.1900,31.12.9999,1
7100,70273,01.01.1900,31.12.9999,1
3808,572,01.01.1900,31.12.9999,1
9089,20770,01.01.1900,31.12.9999,1
5288,301336,01.01.1900,31.12.9999,1
6674,10991,01.01.1900,31.12.9999,1
6552,377930,01.01.1900,31.12.9999,1
4363,89342,01.01.1900,31.12.9999,1
4450,2724900,01.01.1900,31.12.9999,1
3754,580367,01.01.1900,31.12.9999,1
5939,811,01.01.1900,31.12.9999,1
5927,17818,01.01.1900,31.12.9999,1
8847,199951,01.01.1900,31.12.9999,1
1313,236800,01.01.1900,31.12.9999,1
3111,64559,01.01.1900,31.12.9999,1
1899,10452,01.01.1900,31.12.9999,1
1612,30355,01.01.1900,31.12.9999,1
9882,111369,01.01.1900,31.12.9999,1
9669,1759540,01.01.1900,31.12.9999,1
3125,160,01.01.1900,31.12.9999,1
9898,65300,01.01.1900,31.12.9999,1
7830,2586,01.01.1900,31.12.9999,1
3497,587041,01.01.1900,31.12.9999,1
3592,118484,01.01.1900,31.12.9999,1
6262,330803,01.01.1900,31.12.9999,1
2701,300,01.01.1900,31.12.9999,1
4228,1240192,01.01.1900,31.12.9999,1
3964,316,01.01.1900,31.12.9999,1
8099,181,01.01.1900,31.12.9999,1
6596,1128,01.01.1900,31.12.9999,1
2777,1030700,01.01.1900,31.12.9999,1
2792,2040,01.01.1900,31.12.9999,1
6400,374,01.01.1900,31.12.9999,1
9800,1964375,01.01.1900,31.12.9999,1
8489,702,01.01.1900,31.12.9999,1
1367,33846,01.01.1900,31.12.9999,1
2641,2,01.01.1900,31.12.9999,1
9877,1564110,01.01.1900,31.12.9999,1
1357,13812,01.01.1900,31.12.9999,1
6446,102,01.01.1900,31.12.9999,1
3324,446550,01.01.1900,31.12.9999,1
9850,801590,01.01.1900,31.12.9999,1
7797,676578,01.01.1900,31.12.9999,1
2703,825615,01.01.1900,31.12.9999,1
9288,21,01.01.1900,31.12.9999,1
3315,147181,01.01.1900,31.12.9999,1
7531,41850,01.01.1900,31.12.9999,1
5635,18575,01.01.1900,31.12.9999,1
1811,270467,01.01.1900,31.12.9999,1
6130,130373,01.01.1900,31.12.9999,1
1507,1267000,01.01.1900,31.12.9999,1
4777,923768,01.01.1900,31.12.9999,1
7875,260,01.01.1900,31.12.9999,1
4718,120538,01.01.1900,31.12.9999,1
6127,25713,01.01.1900,31.12.9999,1
1019,464,01.01.1900,31.12.9999,1
4283,323802,01.01.1900,31.12.9999,1
2939,309500,01.01.1900,31.12.9999,1
5946,881912,01.01.1900,31.12.9999,1
7978,459,01.01.1900,31.12.9999,1
2232,75417,01.01.1900,31.12.9999,1
6499,462840,01.01.1900,31.12.9999,1
8530,406752,01.01.1900,31.12.9999,1
2693,1285216,01.01.1900,31.12.9999,1
1477,342353,01.01.1900,31.12.9999,1
7322,312679,01.01.1900,31.12.9999,1
4885,92090,01.01.1900,31.12.9999,1
7373,8870,01.01.1900,31.12.9999,1
3352,11586,01.01.1900,31.12.9999,1
6771,238391,01.01.1900,31.12.9999,1
6070,17098242,01.01.1900,31.12.9999,1
7426,26338,01.01.1900,31.12.9999,1
9065,21,01.01.1900,31.12.9999,1
9260,616,01.01.1900,31.12.9999,1
7092,53,01.01.1900,31.12.9999,1
3283,2842,01.01.1900,31.12.9999,1
6251,61,01.01.1900,31.12.9999,1
7391,2149690,01.01.1900,31.12.9999,1
5951,196722,01.01.1900,31.12.9999,1
1245,88361,01.01.1900,31.12.9999,1
3813,452,01.01.1900,31.12.9999,1
2946,71740,01.01.1900,31.12.9999,1
7069,710,01.01.1900,31.12.9999,1
9088,34,01.01.1900,31.12.9999,1
3625,49037,01.01.1900,31.12.9999,1
5516,20273,01.01.1900,31.12.9999,1
9888,28896,01.01.1900,31.12.9999,1
6544,637657,01.01.1900,31.12.9999,1
6951,1221037,01.01.1900,31.12.9999,1
7514,100210,01.01.1900,31.12.9999,1
1955,619745,01.01.1900,31.12.9999,1
7526,505992,01.01.1900,31.12.9999,1
7632,65610,01.01.1900,31.12.9999,1
4452,1886068,01.01.1900,31.12.9999,1
9954,163820,01.01.1900,31.12.9999,1
9171,450295,01.01.1900,31.12.9999,1
9995,41284,01.01.1900,31.12.9999,1
9598,185180,01.01.1900,31.12.9999,1
1623,36193,01.01.1900,31.12.9999,1
8108,143100,01.01.1900,31.12.9999,1
5605,945087,01.01.1900,31.12.9999,1
3514,513120,01.01.1900,31.12.9999,1
8258,14874,01.01.1900,31.12.9999,1
3763,56785,01.01.1900,31.12.9999,1
4810,12,01.01.1900,31.12.9999,1
7376,747,01.01.1900,31.12.9999,1
4402,5130,01.01.1900,31.12.9999,1
2097,163610,01.01.1900,31.12.9999,1
3095,783562,01.01.1900,31.12.9999,1
6898,488100,01.01.1900,31.12.9999,1
6928,26,01.01.1900,31.12.9999,1
3793,241550,01.01.1900,31.12.9999,1
8670,603500,01.01.1900,31.12.9999,1
3348,83600,01.01.1900,31.12.9999,1
8898,242900,01.01.1900,31.12.9999,1
8163,9372610,01.01.1900,31.12.9999,1
8338,181034,01.01.1900,31.12.9999,1
7220,447400,01.01.1900,31.12.9999,1
9145,12189,01.01.1900,31.12.9999,1
4005,916445,01.01.1900,31.12.9999,1
6369,331212,01.01.1900,31.12.9999,1
7483,266000,01.01.1900,31.12.9999,1
7872,527968,01.01.1900,31.12.9999,1
9480,752612,01.01.1900,31.12.9999,1
2658,390757,01.01.1900,31.12.9999,1
