country_id,country,start,end,current
2050,Afghanistan,01.01.1900,31.12.9999,1
5181,Albania,01.01.1900,31.12.9999,1
4586,Algeria,01.01.1900,31.12.9999,1
9350,American Samoa,01.01.1900,31.12.9999,1
9230,Andorra,01.01.1900,31.12.9999,1
9448,Angola,01.01.1900,31.12.9999,1
5604,Anguilla,01.01.1900,31.12.9999,1
8745,Antigua and Barbuda,01.01.1900,31.12.9999,1
5231,Argentina,01.01.1900,31.12.9999,1
1972,Armenia,01.01.1900,31.12.9999,1
8217,Aruba,01.01.1900,31.12.9999,1
7859,Australia,01.01.1900,31.12.9999,1
5484,Austria,01.01.1900,31.12.9999,1
2557,Azerbaijan,01.01.1900,31.12.9999,1
3976,Bahamas,01.01.1900,31.12.9999,1
5160,Bahrain,01.01.1900,31.12.9999,1
3421,Bangladesh,01.01.1900,31.12.9999,1
8963,Barbados,01.01.1900,31.12.9999,1
4288,Belarus,01.01.1900,31.12.9999,1
2934,Belgium,01.01.1900,31.12.9999,1
1945,Belize,01.01.1900,31.12.9999,1
5854,Benin,01.01.1900,31.12.9999,1
5017,Bermuda,01.01.1900,31.12.9999,1
5833,Bhutan,01.01.1900,31.12.9999,1
8863,Bolivia,01.01.1900,31.12.9999,1
2086,Bosnia and Herzegovina,01.01.1900,31.12.9999,1
6025,Botswana,01.01.1900,31.12.9999,1
5643,Brazil,01.01.1900,31.12.9999,1
8750,British Virgin Islands,01.01.1900,31.12.9999,1
1038,Brunei,01.01.1900,31.12.9999,1
4114,Bulgaria,01.01.1900,31.12.9999,1
3270,Burkina Faso,01.01.1900,31.12.9999,1
5785,Burundi,01.01.1900,31.12.9999,1
1475,Cambodia,01.01.1900,31.12.9999,1
2910,Cameroon,01.01.1900,31.12.9999,1
4227,Canada,01.01.1900,31.12.9999,1
5564,Cape Verde,01.01.1900,31.12.9999,1
1710,Cayman Islands,01.01.1900,31.12.9999,1
1420,Central African Republic,01.01.1900,31.12.9999,1
9053,Chad,01.01.1900,31.12.9999,1
8151,Chile,01.01.1900,31.12.9999,1
4783,China,01.01.1900,31.12.9999,1
8433,Colombia,01.01.1900,31.12.9999,1
2225,Comoros,01.01.1900,31.12.9999,1
1998,Cook Islands,01.01.1900,31.12.9999,1
5481,Costa Rica,01.01.1900,31.12.9999,1
9225,Croatia,01.01.1900,31.12.9999,1
5830,Cuba,01.01.1900,31.12.9999,1
5520,Cyprus,01.01.1900,31.12.9999,1
9936,Denmark,01.01.1900,31.12.9999,1
8382,Djibouti,01.01.1900,31.12.9999,1
1484,Dominica,01.01.1900,31.12.9999,1
4632,Dominican Republic,01.01.1900,31.12.9999,1
8990,Ecuador,01.01.1900,31.12.9999,1
5730,Egypt,01.01.1900,31.12.9999,1
8331,El Salvador,01.01.1900,31.12.9999,1
5493,Equatorial Guinea,01.01.1900,31.12.9999,1
1933,Eritrea,01.01.1900,31.12.9999,1
4556,Estonia,01.01.1900,31.12.9999,1
2855,Eswatini,01.01.1900,31.12.9999,1
1077,Ethiopia,01.01.1900,31.12.9999,1
1812,Falkland Islands,01.01.1900,31.12.9999,1
8902,Faroe Islands,01.01.1900,31.12.9999,1
2666,Fiji,01.01.1900,31.12.9999,1
8325,Finland,01.01.1900,31.12.9999,1
2491,France,01.01.1900,31.12.9999,1
6137,French Guiana,01.01.1900,31.12.9999,1
1540,French Polynesia,01.01.1900,31.12.9999,1
9323,Gabon,01.01.1900,31.12.9999,1
1968,Gambia,01.01.1900,31.12.9999,1
6192,Georgia,01.01.1900,31.12.9999,1
2447,Germany,01.01.1900,31.12.9999,1
1680,Ghana,01.01.1900,31.12.9999,1
5059,Gibraltar,01.01.1900,31.12.9999,1
7791,Greece,01.01.1900,31.12.9999,1
9550,Greenland,01.01.1900,31.12.9999,1
1866,Grenada,01.01.1900,31.12.9999,1
1376,Guadeloupe,01.01.1900,31.12.9999,1
8106,Guam,01.01.1900,31.12.9999,1
8657,Guatemala,01.01.1900,31.12.9999,1
9599,Guinea,01.01.1900,31.12.9999,1
5294,Guinea-Bissau,01.01.1900,31.12.9999,1
2843,Guyana,01.01.1900,31.12.9999,1
6415,Haiti,01.01.1900,31.12.9999,1
1086,Honduras,01.01.1900,31.12.9999,1
7703,Hong Kong,01.01.1900,31.12.9999,1
9064,Hungary,01.01.1900,31.12.9999,1
7843,Iceland,01.01.1900,31.12.9999,1
7159,India,01.01.1900,31.12.9999,1
3993,Indonesia,01.01.1900,31.12.9999,1
7987,Iran,01.01.1900,31.12.9999,1
3959,Iraq,01.01.1900,31.12.9999,1
7100,Ireland,01.01.1900,31.12.9999,1
3808,Isle of Man,01.01.1900,31.12.9999,1
9089,Israel,01.01.1900,31.12.9999,1
5288,Italy,01.01.1900,31.12.9999,1
6674,Jamaica,01.01.1900,31.12.9999,1
6552,Japan,01.01.1900,31.12.9999,1
4363,Jordan,01.01.1900,31.12.9999,1
4450,Kazakhstan,01.01.1900,31.12.9999,1
3754,Kenya,01.01.1900,31.12.9999,1
5939,Kiribati,01.01.1900,31.12.9999,1
5927,Kuwait,01.01.1900,31.12.9999,1
8847,Kyrgyzstan,01.01.1900,31.12.9999,1
1313,Laos,01.01.1900,31.12.9999,1
3111,Latvia,01.01.1900,31.12.9999,1
1899,Lebanon,01.01.1900,31.12.9999,1
1612,Lesotho,01.01.1900,31.12.9999,1
9882,Liberia,01.01.1900,31.12.9999,1
9669,Libya,01.01.1900,31.12.9999,1
3125,Liechtenstein,01.01.1900,31.12.9999,1
9898,Lithuania,01.01.1900,31.12.9999,1
7830,Luxembourg,01.01.1900,31.12.9999,1
3497,Madagascar,01.01.1900,31.12.9999,1
3592,Malawi,01.01.1900,31.12.9999,1
6262,Malaysia,01.01.1900,31.12.9999,1
2701,Maldives,01.01.1900,31.12.9999,1
4228,Mali,01.01.1900,31.12.9999,1
3964,Malta,01.01.1900,31.12.9999,1
8099,Marshall Islands,01.01.1900,31.12.9999,1
6596,Martinique,01.01.1900,31.12.9999,1
2777,Mauritania,01.01.1900,31.12.9999,1
2792,Mauritius,01.01.1900,31.12.9999,1
6400,Mayotte,01.01.1900,31.12.9999,1
9800,Mexico,01.01.1900,31.12.9999,1
8489,Micronesia,01.01.1900,31.12.9999,1
1367,Moldova,01.01.1900,31.12.9999,1
2641,Monaco,01.01.1900,31.12.9999,1
9877,Mongolia,01.01.1900,31.12.9999,1
1357,Montenegro,01.01.1900,31.12.9999,1
6446,Montserrat,01.01.1900,31.12.9999,1
3324,Morocco,01.01.1900,31.12.9999,1
9850,Mozambique,01.01.1900,31.12.9999,1
7797,Myanmar,01.01.1900,31.12.9999,1
2703,Namibia,01.01.1900,31.12.9999,1
9288,Nauru,01.01.1900,31.12.9999,1
3315,Nepal,01.01.1900,31.12.9999,1
7531,Netherlands,01.01.1900,31.12.9999,1
5635,New Caledonia,01.01.1900,31.12.9999,1
1811,New Zealand,01.01.1900,31.12.9999,1
6130,Nicaragua,01.01.1900,31.12.9999,1
1507,Niger,01.01.1900,31.12.9999,1
4777,Nigeria,01.01.1900,31.12.9999,1
7875,Niue,01.01.1900,31.12.9999,1
4718,North Korea,01.01.1900,31.12.9999,1
6127,North Macedonia,01.01.1900,31.12.9999,1
1019,Northern Mariana Islands,01.01.1900,31.12.9999,1
4283,Norway,01.01.1900,31.12.9999,1
2939,Oman,01.01.1900,31.12.9999,1
5946,Pakistan,01.01.1900,31.12.9999,1
7978,Palau,01.01.1900,31.12.9999,1
2232,Panama,01.01.1900,31.12.9999,1
6499,Papua New Guinea,01.01.1900,31.12.9999,1
8530,Paraguay,01.01.1900,31.12.9999,1
2693,Peru,01.01.1900,31.12.9999,1
1477,Philippines,01.01.1900,31.12.9999,1
7322,Poland,01.01.1900,31.12.9999,1
4885,Portugal,01.01.1900,31.12.9999,1
7373,Puerto Rico,01.01.1900,31.12.9999,1
3352,Qatar,01.01.1900,31.12.9999,1
6771,Romania,01.01.1900,31.12.9999,1
6070,Russia,01.01.1900,31.12.9999,1
7426,Rwanda,01.01.1900,31.12.9999,1
9065,Saint Barthelemy,01.01.1900,31.12.9999,1
9260,Saint Lucia,01.01.1900,31.12.9999,1
7092,Saint Martin,01.01.1900,31.12.9999,1
3283,Samoa,01.01.1900,31.12.9999,1
6251,San Marino,01.01.1900,31.12.9999,1
7391,Saudi Arabia,01.01.1900,31.12.9999,1
5951,Senegal,01.01.1900,31.12.9999,1
1245,Serbia,01.01.1900,31.12.9999,1
3813,Seychelles,01.01.1900,31.12.9999,1
2946,Sierra Leone,01.01.1900,31.12.9999,1
7069,Singapore,01.01.1900,31.12.9999,1
9088,Sint Maarten,01.01.1900,31.12.9999,1
3625,Slovakia,01.01.1900,31.12.9999,1
5516,Slovenia,01.01.1900,31.12.9999,1
9888,Solomon Islands,01.01.1900,31.12.9999,1
6544,Somalia,01.01.1900,31.12.9999,1
6951,South Africa,01.01.1900,31.12.9999,1
7514,South Korea,01.01.1900,31.12.9999,1
1955,South Sudan,01.01.1900,31.12.9999,1
7526,Spain,01.01.1900,31.12.9999,1
7632,Sri Lanka,01.01.1900,31.12.9999,1
4452,Sudan,01.01.1900,31.12.9999,1
9954,Suriname,01.01.1900,31.12.9999,1
9171,Sweden,01.01.1900,31.12.9999,1
9995,Switzerland,01.01.1900,31.12.9999,1
9598,Syria,01.01.1900,31.12.9999,1
1623,Taiwan,01.01.1900,31.12.9999,1
8108,Tajikistan,01.01.1900,31.12.9999,1
5605,Tanzania,01.01.1900,31.12.9999,1
3514,Thailand,01.01.1900,31.12.9999,1
8258,Timor-Leste,01.01.1900,31.12.9999,1
3763,Togo,01.01.1900,31.12.9999,1
4810,Tokelau,01.01.1900,31.12.9999,1
7376,Tonga,01.01.1900,31.12.9999,1
4402,Trinidad and Tobago,01.01.1900,31.12.9999,1
2097,Tunisia,01.01.1900,31.12.9999,1
3095,Turkey,01.01.1900,31.12.9999,1
6898,Turkmenistan,01.01.1900,31.12.9999,1
6928,Tuvalu,01.01.1900,31.12.9999,1
3793,Uganda,01.01.1900,31.12.9999,1
8670,Ukraine,01.01.1900,31.12.9999,1
3348,United Arab Emirates,01.01.1900,31.12.9999,1
8898,United Kingdom,01.01.1900,31.12.9999,1
8163,United States,01.01.1900,31.12.9999,1
8338,Uruguay,01.01.1900,31.12.9999,1
7220,Uzbekistan,01.01.1900,31.12.9999,1
9145,Vanuatu,01.01.1900,31.12.9999,1
4005,Venezuela,01.01.1900,31.12.9999,1
6369,Vietnam,01.01.1900,31.12.9999,1
7483,Western Sahara,01.01.1900,31.12.9999,1
7872,Yemen,01.01.1900,31.12.9999,1
9480,Zambia,01.01.1900,31.12.9999,1
2658,Zimbabwe,01.01.1900,31.12.9999,1
